Sno,Membership_No,Name,Email,Contact_No,Status,Balance,Other_Details
54,1054,Member 54,member54@gmail.com,03469201484,DEACTIVATED,4290.27,Payment overdue
55,1055,Member 55,member55@gmail.com,03777087817,ACTIVE,85.99,Payment overdue
56,1056,Member 56,member56@gmail.com,03198234721,ACTIVE,-46.58,Payment overdue
57,1057,Member 57,member57@gmail.com,03250063638,ACTIVE,3023.75,Renewal due
58,1058,Member 58,member58@gmail.com,03895873972,ACTIVE,4929.09,
59,1059,Member 59,member59@gmail.com,03058798608,ACTIVE,2555.89,
60,1060,Member 60,member60@gmail.com,03628684218,ACTIVE,-303.66,Payment overdue
61,1061,Member 61,member61@gmail.com,03605986465,ACTIVE,3524.21,
62,1062,Member 62,member62@gmail.com,03445836408,ACTIVE,1448.74,Renewal due
63,1063,Member 63,member63@gmail.com,03915175576,ACTIVE,4288.99,Payment overdue
64,1064,Member 64,member64@gmail.com,03454782283,ACTIVE,561.47,Payment overdue
65,1065,Member 65,member65@gmail.com,03060449686,ACTIVE,1579.03,
66,1066,Member 66,member66@gmail.com,03481498876,ACTIVE,1841.94,
67,1067,Member 67,member67@gmail.com,03814515068,INACTIVE,2877.44,Renewal due
68,1068,Member 68,member68@gmail.com,03674126910,INACTIVE,1758.78,
69,1069,Member 69,member69@gmail.com,03664488795,ACTIVE,785.13,
70,1070,Member 70,member70@gmail.com,03887540163,INACTIVE,3413.91,
71,1071,Member 71,member71@gmail.com,03681136046,INACTIVE,2358.22,Payment overdue
72,1072,Member 72,member72@gmail.com,03060775093,ACTIVE,358.01,Renewal due
73,1073,Member 73,member73@gmail.com,03186747275,ACTIVE,3786.29,Payment overdue
74,1074,Member 74,member74@gmail.com,03085311993,ACTIVE,9.05,
75,1075,Member 75,member75@gmail.com,03557933473,INACTIVE,2421.66,
76,1076,Member 76,member76@gmail.com,03114298408,ACTIVE,4355.27,
77,1077,Member 77,member77@gmail.com,03346221253,INACTIVE,2831.27,Renewal due
78,1078,Member 78,member78@gmail.com,03086523182,ACTIVE,4885.7,Payment overdue
79,1079,Member 79,member79@gmail.com,03809053681,ACTIVE,696.59,
80,1080,Member 80,member80@gmail.com,03112385718,ACTIVE,1670.74,
81,1081,Member 81,member81@gmail.com,03968529666,ACTIVE,2851.95,
82,1082,Member 82,member82@gmail.com,03100473923,ACTIVE,1283.85,Renewal due
83,1083,Member 83,member83@gmail.com,03672911719,ACTIVE,776.53,
84,1084,Member 84,member84@gmail.com,03007090721,ACTIVE,2242.02,
85,1085,Member 85,member85@gmail.com,03632329024,INACTIVE,349.64,Payment overdue
86,1086,Member 86,member86@gmail.com,03171317483,ACTIVE,4692,
87,1087,Member 87,member87@gmail.com,03980572512,ACTIVE,2902.3,Renewal due
88,1088,Member 88,member88@gmail.com,03407457141,INACTIVE,2543.07,
89,1089,Member 89,member89@gmail.com,03078141258,ACTIVE,3280.04,
90,1090,Member 90,member90@gmail.com,03224926919,ACTIVE,246.59,
91,1091,Member 91,member91@gmail.com,03303084343,INACTIVE,2787.91,
92,1092,Member 92,member92@gmail.com,03833807700,ACTIVE,2551.61,Renewal due
93,1093,Member 93,member93@gmail.com,03334830960,ACTIVE,4597.48,Payment overdue
94,1094,Member 94,member94@gmail.com,03909960807,ACTIVE,1199.13,
95,1095,Member 95,member95@gmail.com,03527579867,ACTIVE,4561.49,
96,1096,Member 96,member96@gmail.com,03960147393,INACTIVE,1634.16,Payment overdue
97,1097,Member 97,member97@gmail.com,03517966119,ACTIVE,2789.77,Renewal due
98,1098,Member 98,member98@gmail.com,03002356807,ACTIVE,839.01,Payment overdue
99,1099,Member 99,member99@gmail.com,03326885018,INACTIVE,-370.77,
100,1100,Member 100,member100@gmail.com,03849061504,ACTIVE,2438.66,
101,1101,Member 101,member101@gmail.com,03202281196,ACTIVE,1787.28,
102,1102,Member 102,member102@gmail.com,03920973241,ACTIVE,4080.11,Renewal due
103,1103,Member 103,member103@gmail.com,03314597588,ACTIVE,1717.42,Payment overdue
104,1104,Member 104,member104@gmail.com,03048890130,ACTIVE,3966.79,
105,1105,Member 105,member105@gmail.com,03175744626,INACTIVE,2218.51,
106,1106,Member 106,member106@gmail.com,03090632807,ACTIVE,-135.51,Payment overdue
107,1107,Member 107,member107@gmail.com,03267834761,INACTIVE,872.91,Renewal due
108,1108,Member 108,member108@gmail.com,03494312187,ACTIVE,35.82,
109,1109,Member 109,member109@gmail.com,03409002657,ACTIVE,2863.62,
110,1110,Member 110,member110@gmail.com,03341762505,INACTIVE,3423.06,
111,1111,Member 111,member111@gmail.com,03790406573,ACTIVE,-172.07,
112,1112,Member 112,member112@gmail.com,03779049911,ACTIVE,2781.44,Renewal due
113,1113,Member 113,member113@gmail.com,03208224044,ACTIVE,320.67,Payment overdue
114,1114,Member 114,member114@gmail.com,03890504172,ACTIVE,966.69,
115,1115,Member 115,member115@gmail.com,03033866445,ACTIVE,1583.39,
116,1116,Member 116,member116@gmail.com,03883179616,ACTIVE,3273.95,
117,1117,Member 117,member117@gmail.com,03151085773,ACTIVE,4378.97,Renewal due
118,1118,Member 118,member118@gmail.com,03382737991,ACTIVE,4302.15,
119,1119,Member 119,member119@gmail.com,03972140112,ACTIVE,1479.18,
120,1120,Member 120,member120@gmail.com,03552405526,INACTIVE,3923.33,
121,1121,Member 121,member121@gmail.com,03365133374,ACTIVE,-0.31,
122,1122,Member 122,member122@gmail.com,03217503712,ACTIVE,-70.59,Renewal due
123,1123,Member 123,member123@gmail.com,03031183403,INACTIVE,3407.81,
124,1124,Member 124,member124@gmail.com,03154095905,ACTIVE,1806.98,
125,1125,Member 125,member125@gmail.com,03127466728,INACTIVE,2243.99,Payment overdue
126,1126,Member 126,member126@gmail.com,03388172835,ACTIVE,3403.91,
127,1127,Member 127,member127@gmail.com,03672958128,ACTIVE,1230.43,Renewal due
128,1128,Member 128,member128@gmail.com,03653661965,ACTIVE,3670.5,
129,1129,Member 129,member129@gmail.com,03076476442,ACTIVE,1355.58,Payment overdue
130,1130,Member 130,member130@gmail.com,03071943038,ACTIVE,4576.23,
131,1131,Member 131,member131@gmail.com,03067309854,ACTIVE,3513.9,Payment overdue
132,1132,Member 132,member132@gmail.com,03265262432,ACTIVE,-73.67,Renewal due
133,1133,Member 133,member133@gmail.com,03539774325,ACTIVE,-78.74,
134,1134,Member 134,member134@gmail.com,03920293201,ACTIVE,1188.29,
135,1135,Member 135,member135@gmail.com,03923529656,INACTIVE,1138.25,
136,1136,Member 136,member136@gmail.com,03354510969,ACTIVE,1340.88,
137,1137,Member 137,member137@gmail.com,03382858786,ACTIVE,2110.1,Renewal due
138,1138,Member 138,member138@gmail.com,03132647950,ACTIVE,3474.65,
139,1139,Member 139,member139@gmail.com,03377451504,ACTIVE,2306.98,
140,1140,Member 140,member140@gmail.com,03180797882,ACTIVE,301.02,Payment overdue
141,1141,Member 141,member141@gmail.com,03728568060,ACTIVE,4939.78,
142,1142,Member 142,member142@gmail.com,03593369151,ACTIVE,2564.07,Renewal due
143,1143,Member 143,member143@gmail.com,03584761985,ACTIVE,2914.3,
144,1144,Member 144,member144@gmail.com,03126756449,ACTIVE,3927.59,
145,1145,Member 145,member145@gmail.com,03841893719,INACTIVE,-39.35,
146,1146,Member 146,member146@gmail.com,03430283402,INACTIVE,2971.48,
147,1147,Member 147,member147@gmail.com,03782567487,ACTIVE,-172.54,Renewal due
148,1148,Member 148,member148@gmail.com,03183461404,ACTIVE,3291.26,
149,1149,Member 149,member149@gmail.com,03729385844,ACTIVE,3239.57,Payment overdue
150,1150,Member 150,member150@gmail.com,03079205673,ACTIVE,140.2,
151,1151,Member 151,member151@gmail.com,03166532476,ACTIVE,131.3,
152,1152,Member 152,member152@gmail.com,03029907935,ACTIVE,2627.73,Renewal due
153,1153,Member 153,member153@gmail.com,03221459915,ACTIVE,4798.9,
154,1154,Member 154,member154@gmail.com,03951164731,ACTIVE,4374.41,Payment overdue
155,1155,Member 155,member155@gmail.com,03418666118,ACTIVE,4478.36,
156,1156,Member 156,member156@gmail.com,03191384028,ACTIVE,722.99,
157,1157,Member 157,member157@gmail.com,03255497844,ACTIVE,3825.63,Renewal due
158,1158,Member 158,member158@gmail.com,03613306026,ACTIVE,2093.41,
159,1159,Member 159,member159@gmail.com,03895834851,ACTIVE,4840.77,Payment overdue
160,1160,Member 160,member160@gmail.com,03776175156,ACTIVE,625.76,
161,1161,Member 161,member161@gmail.com,03625587520,INACTIVE,4809.42,
162,1162,Member 162,member162@gmail.com,03651595729,ACTIVE,2591.2,Renewal due
163,1163,Member 163,member163@gmail.com,03383965852,ACTIVE,2923.11,Payment overdue
164,1164,Member 164,member164@gmail.com,03046867343,ACTIVE,4492.9,
165,1165,Member 165,member165@gmail.com,03549823426,INACTIVE,781.27,
166,1166,Member 166,member166@gmail.com,03299014758,ACTIVE,-327.98,
167,1167,Member 167,member167@gmail.com,03545598515,ACTIVE,1476.67,Renewal due
168,1168,Member 168,member168@gmail.com,03733379393,ACTIVE,3715.08,
169,1169,Member 169,member169@gmail.com,03009704729,ACTIVE,1331.63,Payment overdue
170,1170,Member 170,member170@gmail.com,03696740302,ACTIVE,1754.48,Payment overdue
171,1171,Member 171,member171@gmail.com,03737472100,ACTIVE,2247.58,
172,1172,Member 172,member172@gmail.com,03687028302,ACTIVE,1812.16,Renewal due
173,1173,Member 173,member173@gmail.com,03183946266,ACTIVE,1247.8,
174,1174,Member 174,member174@gmail.com,03902407565,ACTIVE,580.2,
175,1175,Member 175,member175@gmail.com,03002228617,ACTIVE,2507.93,
176,1176,Member 176,member176@gmail.com,03088992725,ACTIVE,642.39,Payment overdue
177,1177,Member 177,member177@gmail.com,03014334195,ACTIVE,438.28,Renewal due
178,1178,Member 178,member178@gmail.com,03563045953,INACTIVE,3225.74,
179,1179,Member 179,member179@gmail.com,03754407124,ACTIVE,1611.52,Payment overdue
180,1180,Member 180,member180@gmail.com,03224123926,ACTIVE,4957.4,
181,1181,Member 181,member181@gmail.com,03553891754,ACTIVE,4114.79,
182,1182,Member 182,member182@gmail.com,03178665458,ACTIVE,2373.72,Renewal due
183,1183,Member 183,member183@gmail.com,03802867412,ACTIVE,998.75,
184,1184,Member 184,member184@gmail.com,03842874639,ACTIVE,4325.5,
185,1185,Member 185,member185@gmail.com,03376400120,ACTIVE,-410.19,
186,1186,Member 186,member186@gmail.com,03143704906,ACTIVE,2763.86,
187,1187,Member 187,member187@gmail.com,03052548588,ACTIVE,4263.44,Renewal due
188,1188,Member 188,member188@gmail.com,03040059097,ACTIVE,2628.79,
189,1189,Member 189,member189@gmail.com,03326462318,ACTIVE,2889.06,
190,1190,Member 190,member190@gmail.com,03697260535,ACTIVE,3579.86,
191,1191,Member 191,member191@gmail.com,03034185386,ACTIVE,1931.29,
192,1192,Member 192,member192@gmail.com,03912964928,INACTIVE,3863.94,Renewal due
193,1193,Member 193,member193@gmail.com,03537484042,ACTIVE,2597.16,
194,1194,Member 194,member194@gmail.com,03934219157,ACTIVE,2000.41,
195,1195,Member 195,member195@gmail.com,03510385714,INACTIVE,3466.14,
196,1196,Member 196,member196@gmail.com,03623741896,INACTIVE,763.56,
197,1197,Member 197,member197@gmail.com,03996552729,ACTIVE,408.54,Renewal due
198,1198,Member 198,member198@gmail.com,03161059394,ACTIVE,4220.37,
199,1199,Member 199,member199@gmail.com,03744119849,ACTIVE,102.74,
200,1200,Member 200,member200@gmail.com,03347791254,ACTIVE,1552.17,
201,1201,Member 201,member201@gmail.com,03405156534,ACTIVE,4714.83,
202,1202,Member 202,member202@gmail.com,03689796575,INACTIVE,2240.53,Renewal due
203,1203,Member 203,member203@gmail.com,03942389011,ACTIVE,1168.01,
204,1204,Member 204,member204@gmail.com,03177177872,ACTIVE,2619.46,
205,1205,Member 205,member205@gmail.com,03799396990,ACTIVE,2503.8,Payment overdue
206,1206,Member 206,member206@gmail.com,03098475273,ACTIVE,4540.87,Payment overdue
207,1207,Member 207,member207@gmail.com,03760994482,ACTIVE,2056.99,Renewal due
208,1208,Member 208,member208@gmail.com,03916145478,INACTIVE,2456.98,
209,1209,Member 209,member209@gmail.com,03688810929,ACTIVE,-421.97,
210,1210,Member 210,member210@gmail.com,03907231361,ACTIVE,438.49,Payment overdue
211,1211,Member 211,member211@gmail.com,03714932370,INACTIVE,3360.74,
212,1212,Member 212,member212@gmail.com,03917736455,ACTIVE,2440.57,Renewal due
213,1213,Member 213,member213@gmail.com,03617732886,ACTIVE,2039.8,
214,1214,Member 214,member214@gmail.com,03951552336,ACTIVE,4481.8,
215,1215,Member 215,member215@gmail.com,03345756797,ACTIVE,2282.21,Payment overdue
216,1216,Member 216,member216@gmail.com,03757084151,INACTIVE,1085.73,Payment overdue
217,1217,Member 217,member217@gmail.com,03337402968,ACTIVE,1206.46,Renewal due
218,1218,Member 218,member218@gmail.com,03960836576,ACTIVE,1296.58,Payment overdue
219,1219,Member 219,member219@gmail.com,03233538225,ACTIVE,4446.37,
220,1220,Member 220,member220@gmail.com,03391087500,ACTIVE,3830.27,Payment overdue
221,1221,Member 221,member221@gmail.com,03141601670,ACTIVE,1767.95,
222,1222,Member 222,member222@gmail.com,03779239190,ACTIVE,4696.7,Renewal due
223,1223,Member 223,member223@gmail.com,03221894459,ACTIVE,1490.23,
224,1224,Member 224,member224@gmail.com,03943585039,ACTIVE,4128,
225,1225,Member 225,member225@gmail.com,03189067505,ACTIVE,3237.13,Payment overdue
226,1226,Member 226,member226@gmail.com,03671421246,ACTIVE,3370.35,Payment overdue
227,1227,Member 227,member227@gmail.com,03732551864,SUSPENDED,-391.1,Renewal due
228,1228,Member 228,member228@gmail.com,03793023545,ACTIVE,3413.05,
229,1229,Member 229,member229@gmail.com,03476566314,ACTIVE,4590.93,Payment overdue
230,1230,Member 230,member230@gmail.com,03799880912,ACTIVE,4049.03,
